num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
4,0.020594,0.000929,0.019665,0.020594,4.51,860
3,0.007866,0.000478,0.007388,0.007866,6.08,163
3,0.005061,0.000457,0.004604,0.005061,9.03,40
3,0.005849,0.000579,0.005270,0.005849,9.90,40
2,0.005108,0.000371,0.004737,0.005108,7.26,40
3,0.004931,0.000389,0.004542,0.004931,7.89,40
3,0.006956,0.000619,0.006337,0.006956,8.89,40
6,0.005077,0.000881,0.004196,0.005077,17.35,40
2,0.004837,0.000373,0.004465,0.004837,7.70,40
5,0.005538,0.000796,0.004742,0.005538,14.37,40
5,0.005161,0.000914,0.004247,0.005161,17.70,40
5,0.005070,0.000657,0.004413,0.005070,12.95,40
4,0.004807,0.000715,0.004092,0.004807,14.88,40
6,0.005940,0.001388,0.004553,0.005940,23.36,40
6,0.005364,0.000899,0.004465,0.005364,16.76,40
6,0.005415,0.001021,0.004394,0.005415,18.85,40
4,0.005216,0.000612,0.004604,0.005216,11.73,40
2,0.004796,0.000326,0.004470,0.004796,6.81,40
6,0.005381,0.000968,0.004412,0.005381,17.99,40
3,0.005004,0.000572,0.004431,0.005004,11.44,40
4,0.006095,0.000664,0.005431,0.006095,10.89,40
5,0.005358,0.000733,0.004625,0.005358,13.68,81
6,0.004880,0.000784,0.004096,0.004880,16.06,40
4,0.005669,0.000588,0.005082,0.005669,10.36,40
6,0.005359,0.000820,0.004539,0.005359,15.31,81
3,0.005124,0.000625,0.004499,0.005124,12.20,40
3,0.005038,0.000489,0.004549,0.005038,9.71,40
4,0.006295,0.000884,0.005412,0.006295,14.04,40
4,0.004871,0.000681,0.004190,0.004871,13.98,40
4,0.004875,0.000670,0.004205,0.004875,13.74,81
4,0.005427,0.000758,0.004669,0.005427,13.97,40
4,0.005172,0.000637,0.004535,0.005172,12.32,40
2,0.005173,0.000322,0.004851,0.005173,6.23,40
6,0.005287,0.000863,0.004424,0.005287,16.32,40
5,0.005218,0.000753,0.004465,0.005218,14.43,40
6,0.005333,0.000828,0.004504,0.005333,15.53,40
4,0.005643,0.000733,0.004910,0.005643,12.99,40
3,0.005220,0.000557,0.004663,0.005220,10.68,40
5,0.005383,0.000737,0.004646,0.005383,13.69,40
6,0.005144,0.000907,0.004237,0.005144,17.62,40
2,0.004851,0.000425,0.004427,0.004851,8.75,40
3,0.005024,0.000464,0.004559,0.005024,9.24,40
3,0.005472,0.000565,0.004908,0.005472,10.32,40
4,0.005036,0.000571,0.004465,0.005036,11.33,40
5,0.005762,0.001193,0.004569,0.005762,20.70,40
3,0.005056,0.000513,0.004543,0.005056,10.14,40
4,0.005122,0.000820,0.004302,0.005122,16.02,40
4,0.005559,0.000672,0.004887,0.005559,12.10,40
5,0.005485,0.000776,0.004708,0.005485,14.15,40
5,0.005722,0.000682,0.005040,0.005722,11.92,40
6,0.006219,0.000926,0.005293,0.006219,14.89,40
2,0.004923,0.000338,0.004586,0.004923,6.86,40
