num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
6,0.000533,0.000467,0.000000,0.000467,87.6,1196
4,0.000381,0.000290,0.000000,0.000290,76.2,1196
4,0.000356,0.000286,0.000000,0.000286,80.3,1952
6,0.000505,0.000000,0.000440,0.000440,87.1,1952
6,0.000520,0.000000,0.000451,0.000451,86.8,1952
5,0.000488,0.000000,0.000394,0.000394,80.8,1952
6,0.000529,0.000000,0.000473,0.000473,89.4,1952
2,0.000266,0.000000,0.000173,0.000173,65.1,1952
5,0.000615,0.000000,0.000540,0.000540,87.8,1952
5,0.000463,0.000000,0.000389,0.000389,84.0,1952
5,0.000566,0.000000,0.000494,0.000494,87.2,1952
6,0.000650,0.000000,0.000580,0.000580,89.3,1952
5,0.000490,0.000000,0.000400,0.000400,81.6,1952
5,0.000696,0.000000,0.000610,0.000610,87.6,1952
6,0.000667,0.000000,0.000609,0.000609,91.3,1952
2,0.000474,0.000000,0.000380,0.000380,80.1,1952
6,0.001787,0.000000,0.001582,0.001582,88.5,1952
5,0.000601,0.000000,0.000539,0.000539,89.7,1952
6,0.000773,0.000000,0.000704,0.000704,91.1,1952
3,0.000613,0.000000,0.000305,0.000305,49.8,1952
5,0.000568,0.000000,0.000465,0.000465,81.9,1952
2,0.000378,0.000000,0.000266,0.000266,70.4,1952
6,0.000637,0.000000,0.000567,0.000567,89.0,1952
2,0.000291,0.000000,0.000181,0.000181,62.1,1952
5,0.000502,0.000000,0.000438,0.000438,87.2,1952
5,0.000453,0.000000,0.000391,0.000391,86.3,1952
6,0.000575,0.000000,0.000501,0.000501,87.1,1952
5,0.000467,0.000000,0.000400,0.000400,85.7,1952
2,0.000249,0.000000,0.000141,0.000141,56.6,1952
3,0.000301,0.000000,0.000214,0.000214,71.0,1952
5,0.000495,0.000000,0.000402,0.000402,81.2,1952
5,0.000660,0.000000,0.000435,0.000435,65.9,1952
4,0.000492,0.000000,0.000419,0.000419,85.1,1952
4,0.000387,0.000000,0.000317,0.000317,81.9,1952
4,0.000536,0.000000,0.000471,0.000471,87.9,1952
3,0.000847,0.000000,0.000774,0.000774,91.4,1952
5,0.000644,0.000000,0.000557,0.000557,86.4,1952
5,0.001290,0.000000,0.001241,0.001241,96.2,1952
