num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
4,0.019464,0.000786,0.018678,0.019464,4.04,860
3,0.004938,0.000455,0.004483,0.004938,9.21,163
3,0.004210,0.000372,0.003838,0.004210,8.84,40
3,0.003816,0.000349,0.003467,0.003816,9.13,40
2,0.004196,0.000305,0.003890,0.004196,7.28,40
3,0.004778,0.000451,0.004327,0.004778,9.44,40
3,0.004454,0.000355,0.004100,0.004454,7.97,40
6,0.005580,0.000852,0.004728,0.005580,15.26,40
2,0.004136,0.000252,0.003884,0.004136,6.09,40
5,0.004740,0.001125,0.003615,0.004740,23.74,40
5,0.004729,0.000593,0.004135,0.004729,12.55,40
5,0.004391,0.000585,0.003806,0.004391,13.32,40
4,0.005105,0.000997,0.004107,0.005105,19.54,40
6,0.004523,0.000689,0.003835,0.004523,15.22,40
6,0.004276,0.000714,0.003562,0.004276,16.70,40
6,0.005108,0.000728,0.004380,0.005108,14.25,81
4,0.004076,0.000485,0.003591,0.004076,11.89,40
2,0.003916,0.000312,0.003604,0.003916,7.96,40
6,0.005164,0.000750,0.004414,0.005164,14.53,40
3,0.003881,0.000340,0.003541,0.003881,8.75,40
4,0.004318,0.000468,0.003849,0.004318,10.85,40
5,0.005112,0.000637,0.004474,0.005112,12.47,40
6,0.004586,0.000736,0.003850,0.004586,16.05,40
4,0.005623,0.000564,0.005058,0.005623,10.04,40
6,0.005076,0.000669,0.004407,0.005076,13.18,40
3,0.004017,0.000312,0.003705,0.004017,7.76,40
3,0.005070,0.000411,0.004660,0.005070,8.10,40
4,0.004449,0.000549,0.003900,0.004449,12.35,40
4,0.004817,0.000489,0.004328,0.004817,10.15,40
4,0.004592,0.000571,0.004021,0.004592,12.43,40
4,0.004272,0.000529,0.003743,0.004272,12.39,40
4,0.004838,0.000538,0.004300,0.004838,11.12,81
2,0.003919,0.000252,0.003667,0.003919,6.44,40
6,0.004447,0.000740,0.003707,0.004447,16.64,40
5,0.004371,0.000591,0.003780,0.004371,13.52,40
6,0.004957,0.000802,0.004155,0.004957,16.17,40
4,0.004347,0.000613,0.003734,0.004347,14.10,40
3,0.004253,0.000385,0.003868,0.004253,9.06,40
5,0.004456,0.000602,0.003853,0.004456,13.52,40
6,0.004386,0.000761,0.003625,0.004386,17.35,40
2,0.004673,0.000350,0.004323,0.004673,7.48,40
3,0.005415,0.000495,0.004919,0.005415,9.15,40
3,0.004194,0.000369,0.003824,0.004194,8.81,40
4,0.004285,0.000483,0.003802,0.004285,11.27,40
5,0.004370,0.000553,0.003817,0.004370,12.66,40
3,0.004006,0.000358,0.003648,0.004006,8.92,40
4,0.004244,0.000485,0.003759,0.004244,11.44,40
4,0.004502,0.000530,0.003972,0.004502,11.77,40
5,0.005005,0.000681,0.004324,0.005005,13.61,40
5,0.004729,0.000685,0.004045,0.004729,14.48,40
6,0.005277,0.000739,0.004538,0.005277,14.00,40
2,0.004024,0.000232,0.003792,0.004024,5.77,40
6,0.004526,0.000733,0.003794,0.004526,16.19,40
2,0.003809,0.000245,0.003564,0.003809,6.42,40
2,0.003744,0.000244,0.003500,0.003744,6.51,40
2,0.003699,0.000230,0.003469,0.003699,6.21,40
6,0.004739,0.000761,0.003978,0.004739,16.05,40
6,0.004342,0.000640,0.003703,0.004342,14.74,40
2,0.003849,0.000273,0.003576,0.003849,7.09,40
4,0.004238,0.000510,0.003728,0.004238,12.03,40
6,0.004523,0.000775,0.003747,0.004523,17.14,40
4,0.004264,0.000559,0.003704,0.004264,13.12,40
3,0.004571,0.000396,0.004176,0.004571,8.66,40
3,0.004161,0.000443,0.003718,0.004161,10.65,40
6,0.004385,0.000691,0.003694,0.004385,15.76,40
3,0.004704,0.000429,0.004275,0.004704,9.13,40
4,0.004515,0.000474,0.004042,0.004515,10.49,40
4,0.004166,0.000455,0.003711,0.004166,10.93,40
4,0.004977,0.000555,0.004423,0.004977,11.14,40
2,0.004587,0.000329,0.004258,0.004587,7.17,40
4,0.004182,0.000524,0.003658,0.004182,12.54,40
4,0.004896,0.000506,0.004390,0.004896,10.33,40
2,0.003992,0.000239,0.003753,0.003992,5.99,40
4,0.004161,0.000508,0.003653,0.004161,12.20,40
2,0.004044,0.000268,0.003776,0.004044,6.62,40
2,0.003915,0.000283,0.003632,0.003915,7.23,40
4,0.004112,0.000507,0.003605,0.004112,12.33,40
3,0.004518,0.000399,0.004118,0.004518,8.84,40
2,0.004452,0.000299,0.004154,0.004452,6.70,40
3,0.004114,0.000367,0.003747,0.004114,8.92,40
2,0.004264,0.000261,0.004003,0.004264,6.12,40
6,0.004506,0.000667,0.003839,0.004506,14.80,40
5,0.004605,0.000814,0.003792,0.004605,17.67,40
2,0.004102,0.000249,0.003853,0.004102,6.07,40
2,0.003960,0.000302,0.003658,0.003960,7.63,40
3,0.004173,0.000371,0.003801,0.004173,8.90,40
4,0.004631,0.000470,0.004160,0.004631,10.16,40
3,0.004207,0.000416,0.003791,0.004207,9.89,40
5,0.004463,0.000600,0.003863,0.004463,13.44,40
5,0.004897,0.000711,0.004186,0.004897,14.51,40
5,0.004701,0.000650,0.004051,0.004701,13.82,40
6,0.004784,0.000714,0.004070,0.004784,14.93,40
3,0.004583,0.000408,0.004175,0.004583,8.90,40
4,0.004482,0.000491,0.003991,0.004482,10.96,40
5,0.005050,0.000715,0.004335,0.005050,14.16,40
5,0.005069,0.000631,0.004438,0.005069,12.45,40
5,0.004959,0.000668,0.004291,0.004959,13.46,40
3,0.004268,0.000432,0.003836,0.004268,10.13,40
4,0.005102,0.000525,0.004577,0.005102,10.29,40
